contract_id,supplier_id,category_id,start_date,end_date,negotiated_discount_pct,minimum_order_value,contract_status
CON0001,SUP0060,CAT002,2025-03-30,2026-10-21,10.05,10000,Active
CON0002,SUP0092,CAT005,2026-07-29,2026-10-18,15.7,100000,Expired
CON0003,SUP0035,CAT007,2026-04-05,2027-04-09,12.54,50000,Active
CON0004,SUP0032,CAT008,2025-01-04,2026-12-21,4.61,100000,Active
CON0005,SUP0050,CAT004,2025-04-12,2027-04-29,3.13,100000,Expired
CON0006,SUP0096,CAT003,2025-02-16,2027-06-12,12.28,0,Active
CON0007,SUP0099,CAT007,2025-05-30,2026-11-25,2.42,25000,Expired
CON0008,SUP0035,CAT001,2026-02-21,2027-05-11,11.37,25000,Expired
CON0009,SUP0039,CAT010,2026-06-30,2026-12-18,17.04,100000,Expired
CON0010,SUP0063,CAT003,2025-10-03,2027-03-15,11.21,50000,Expired
CON0011,SUP0062,CAT006,2025-03-20,2027-08-24,8.21,25000,Expired
CON0012,SUP0098,CAT009,2026-08-12,2027-08-01,12.29,50000,Active
CON0013,SUP0042,CAT004,2024-10-15,2026-10-12,9.33,10000,Expired
CON0014,SUP0050,CAT004,2026-01-11,2027-02-18,10.73,50000,Active
CON0015,SUP0041,CAT008,2026-06-12,2026-12-23,17.06,50000,Active
CON0016,SUP0085,CAT003,2024-10-10,2026-09-08,8.18,50000,Active
CON0017,SUP0017,CAT009,2025-05-23,2027-07-03,17.38,100000,Active
CON0018,SUP0013,CAT008,2024-12-16,2027-05-12,16.49,0,Expired
CON0019,SUP0059,CAT001,2025-03-28,2026-11-08,5.13,10000,Active
CON0020,SUP0084,CAT003,2026-04-04,2027-02-25,3.11,0,Active
CON0021,SUP0034,CAT006,2025-11-08,2027-06-08,3.61,100000,Expired
CON0022,SUP0051,CAT002,2025-08-04,2027-04-12,2.29,25000,Expired
CON0023,SUP0069,CAT007,2024-09-13,2026-10-20,3.51,25000,Expired
CON0024,SUP0092,CAT008,2024-11-03,2027-08-15,12.93,100000,Active
CON0025,SUP0080,CAT002,2026-02-24,2027-08-24,3.14,10000,Expired
CON0026,SUP0088,CAT005,2024-12-30,2027-04-06,7.1,10000,Expired
CON0027,SUP0012,CAT007,2024-10-03,2027-07-28,15.52,0,Expired
CON0028,SUP0091,CAT002,2025-06-19,2027-04-21,2.37,50000,Active
