payment_id,invoice_id,payment_date,payment_amount
PAY000001,INV000001,2026-10-07,18751723.93
PAY000002,INV000002,2026-10-28,15933306.4
PAY000003,INV000004,2026-09-30,11996250.07
PAY000004,INV000009,2026-10-28,8999469.7
PAY000005,INV000010,2026-11-17,585324.0
PAY000006,INV000012,2026-11-12,274076.39
PAY000007,INV000013,2026-11-05,10009439.79
PAY000008,INV000014,2026-11-25,20056346.99
PAY000009,INV000015,2026-10-31,27347069.79
PAY000010,INV000016,2026-10-13,8808557.71
PAY000011,INV000017,2026-11-24,5322682.69
PAY000012,INV000019,2026-11-07,6338569.28
PAY000013,INV000020,2026-11-07,13055953.23
PAY000014,INV000021,2026-09-27,17662266.03
PAY000015,INV000022,2026-09-30,7932335.61
PAY000016,INV000023,2026-10-24,4109475.84
PAY000017,INV000024,2026-12-12,1315468.42
PAY000018,INV000029,2026-10-26,8329725.35
PAY000019,INV000030,2026-10-15,15600283.81
PAY000020,INV000032,2026-10-25,26110718.84
PAY000021,INV000037,2026-12-05,17787656.99
PAY000022,INV000038,2026-10-16,9579916.78
PAY000023,INV000040,2026-11-18,4861833.68
PAY000024,INV000042,2026-10-29,3458016.63
PAY000025,INV000043,2026-11-19,5689634.2
PAY000026,INV000046,2026-10-28,10583001.61
PAY000027,INV000049,2026-10-22,6203921.1
PAY000028,INV000050,2026-10-21,2753376.86
PAY000029,INV000051,2026-11-26,8520608.02
PAY000030,INV000055,2026-10-08,17789181.87
PAY000031,INV000058,2026-11-22,14143861.2
PAY000032,INV000059,2026-11-14,28420346.63
PAY000033,INV000060,2026-10-25,503190.45
PAY000034,INV000063,2026-09-22,1531625.55
PAY000035,INV000064,2026-10-30,19978492.94
PAY000036,INV000065,2026-10-20,11254001.57
PAY000037,INV000066,2026-11-22,7655579.82
PAY000038,INV000068,2026-11-08,3604634.15
PAY000039,INV000069,2026-10-21,13646138.47
PAY000040,INV000071,2026-12-03,20688747.37
PAY000041,INV000072,2026-10-19,7393867.51
PAY000042,INV000074,2026-11-05,20805936.09
PAY000043,INV000075,2026-11-21,17229911.11
PAY000044,INV000076,2026-11-17,2662348.09
PAY000045,INV000078,2026-10-30,9253357.91
PAY000046,INV000080,2026-10-06,18337999.5
PAY000047,INV000082,2026-11-25,7165311.76
PAY000048,INV000083,2026-10-08,12296158.8
PAY000049,INV000084,2026-10-01,11660812.92
PAY000050,INV000087,2026-11-15,1038466.26
PAY000051,INV000091,2026-10-16,2868264.8
PAY000052,INV000096,2026-09-20,5908458.16
PAY000053,INV000098,2026-10-28,3736034.28
PAY000054,INV000100,2026-10-29,15643224.49
PAY000055,INV000101,2026-11-30,71760.02
PAY000056,INV000102,2026-11-30,22648583.88
PAY000057,INV000110,2026-11-09,6589381.94
PAY000058,INV000112,2026-11-28,13860279.8
PAY000059,INV000114,2026-10-29,1309010.19
PAY000060,INV000117,2026-10-18,4558001.08
PAY000061,INV000120,2026-11-09,16552015.38
PAY000062,INV000121,2026-11-04,3203393.58
PAY000063,INV000122,2026-10-16,8092687.9
PAY000064,INV000123,2026-09-22,19874770.86
PAY000065,INV000126,2026-10-16,11146453.7
PAY000066,INV000127,2026-10-24,17110752.54
PAY000067,INV000128,2026-11-28,4050854.0
PAY000068,INV000129,2026-10-31,20785998.32
PAY000069,INV000131,2026-11-04,1305392.4
PAY000070,INV000134,2026-10-28,9024998.46
PAY000071,INV000138,2026-11-03,23432767.32
PAY000072,INV000139,2026-12-02,4535931.91
PAY000073,INV000143,2026-10-13,28494416.32
PAY000074,INV000144,2026-11-04,1636431.22
PAY000075,INV000145,2026-11-30,259526.73
PAY000076,INV000146,2026-10-01,21840658.06
PAY000077,INV000147,2026-11-02,6535455.35
PAY000078,INV000148,2026-10-30,13671274.0
PAY000079,INV000149,2026-11-09,12530090.74
PAY000080,INV000151,2026-10-04,17890670.47
PAY000081,INV000154,2026-11-21,21145517.67
PAY000082,INV000158,2026-11-13,24108687.12
PAY000083,INV000159,2026-11-21,33136569.66
PAY000084,INV000160,2026-11-21,19581719.3
PAY000085,INV000161,2026-11-21,3499454.22
PAY000086,INV000162,2026-09-28,2937231.44
PAY000087,INV000164,2026-11-03,2271739.28
PAY000088,INV000165,2026-09-28,32482875.96
PAY000089,INV000166,2026-12-09,5686560.7
PAY000090,INV000167,2026-10-31,11971877.23
PAY000091,INV000168,2026-10-24,29032422.06
PAY000092,INV000169,2026-11-06,2048159.25
PAY000093,INV000170,2026-11-11,17326693.58
PAY000094,INV000177,2026-12-05,8885371.0
PAY000095,INV000178,2026-12-07,11761886.91
PAY000096,INV000180,2026-10-22,21622440.16
PAY000097,INV000182,2026-09-17,17271130.57
PAY000098,INV000183,2026-10-07,5474490.1
PAY000099,INV000185,2026-10-26,2785453.09
PAY000100,INV000187,2026-09-25,32276287.83
PAY000101,INV000188,2026-10-26,1532358.5
PAY000102,INV000192,2026-11-04,12265984.1
PAY000103,INV000193,2026-10-14,148524.2
PAY000104,INV000195,2026-10-20,3272062.68
