product_id,product_name,category_id,base_unit_cost
PROD0001,Maintenance Service,CAT005,4811.23
PROD0002,Server,CAT003,95497.92
PROD0003,Steel Sheet,CAT007,47221.96
PROD0004,Cleaning Service,CAT003,76334.75
PROD0005,Office Chair,CAT010,136144.21
PROD0006,Maintenance Service,CAT007,37468.91
PROD0007,Office Chair,CAT001,61616.4
PROD0008,Server,CAT005,113357.12
PROD0009,Consulting Service,CAT007,34396.85
PROD0010,Printer Paper,CAT010,11639.29
PROD0011,Plastic Packaging,CAT008,43533.74
PROD0012,Server,CAT008,24267.07
PROD0013,Cardboard Box,CAT009,139461.68
PROD0014,Monitor,CAT003,121237.24
PROD0015,Transport Service,CAT005,95047.22
PROD0016,Printer Paper,CAT010,130731.94
PROD0017,Network Switch,CAT002,120570.44
PROD0018,Network Switch,CAT005,28066.85
PROD0019,Keyboard,CAT004,133894.59
PROD0020,Desktop Computer,CAT001,80947.4
PROD0021,Cardboard Box,CAT004,121135.28
PROD0022,Monitor,CAT010,134424.09
PROD0023,Copper Wire,CAT008,47768.72
PROD0024,Server,CAT010,16596.78
PROD0025,Cardboard Box,CAT007,34267.48
PROD0026,Network Switch,CAT007,64123.46
PROD0027,Laptop,CAT003,122720.41
PROD0028,Copper Wire,CAT002,129123.51
PROD0029,Mouse,CAT004,1142.12
PROD0030,Plastic Packaging,CAT009,76661.02
PROD0031,Maintenance Service,CAT001,62669.91
PROD0032,Printer,CAT004,33393.96
PROD0033,Keyboard,CAT008,18067.82
PROD0034,Transport Service,CAT008,50708.51
PROD0035,Cleaning Service,CAT009,141442.16
PROD0036,Plastic Packaging,CAT006,48548.12
PROD0037,Transport Service,CAT010,77866.71
PROD0038,Maintenance Service,CAT007,105482.54
PROD0039,Mouse,CAT008,54608.08
PROD0040,Plastic Packaging,CAT008,145770.13
PROD0041,Network Switch,CAT005,144370.85
PROD0042,Transport Service,CAT005,37842.17
PROD0043,Network Switch,CAT008,74637.55
PROD0044,Plastic Packaging,CAT005,45201.66
PROD0045,Office Chair,CAT002,42797.59
PROD0046,Software License,CAT004,5629.35
PROD0047,Printer Paper,CAT006,91473.69
PROD0048,Monitor,CAT009,75451.59
PROD0049,Keyboard,CAT003,7816.66
PROD0050,Steel Sheet,CAT004,41869.1
PROD0051,Server,CAT003,136249.06
PROD0052,Copper Wire,CAT002,36010.33
PROD0053,Printer Paper,CAT007,21819.74
PROD0054,Plastic Packaging,CAT009,73468.97
PROD0055,Desktop Computer,CAT007,147849.0
PROD0056,Copper Wire,CAT004,36384.09
PROD0057,Consulting Service,CAT007,100853.12
PROD0058,Consulting Service,CAT001,114266.78
PROD0059,Cardboard Box,CAT007,35721.87
PROD0060,Industrial Motor,CAT001,109259.63
PROD0061,Steel Sheet,CAT005,55230.69
PROD0062,Maintenance Service,CAT007,94882.64
PROD0063,Cleaning Service,CAT009,95066.1
PROD0064,Cardboard Box,CAT004,80412.63
PROD0065,Software License,CAT004,13634.44
