po_id,supplier_id,contract_id,po_date,required_date,buyer_id,currency,status
PO000001,SUP0043,CON0082,2026-09-06,2026-09-23,BUY017,INR,Cancelled
PO000002,SUP0025,CON0048,2026-09-06,2026-10-05,BUY008,INR,Approved
PO000003,SUP0019,,2026-09-06,2026-09-29,BUY020,INR,Approved
PO000004,SUP0098,CON0137,2026-09-06,2026-09-17,BUY016,INR,Completed
PO000005,SUP0097,,2026-09-06,2026-10-19,BUY015,INR,Cancelled
PO000006,SUP0083,,2026-09-06,2026-10-03,BUY011,INR,Approved
PO000007,SUP0057,CON0074,2026-09-06,2026-09-17,BUY009,INR,Cancelled
PO000008,SUP0008,CON0109,2026-09-06,2026-10-05,BUY015,INR,Completed
PO000009,SUP0005,CON0051,2026-09-06,2026-09-16,BUY003,INR,Approved
PO000010,SUP0079,CON0092,2026-09-06,2026-10-21,BUY019,INR,Cancelled
PO000011,SUP0095,CON0142,2026-09-06,2026-09-15,BUY007,INR,Approved
PO000012,SUP0078,CON0047,2026-09-06,2026-10-13,BUY015,INR,Approved
PO000013,SUP0044,,2026-09-06,2026-09-18,BUY006,INR,Approved
PO000014,SUP0032,,2026-09-06,2026-10-11,BUY017,INR,Cancelled
PO000015,SUP0079,CON0092,2026-09-06,2026-09-23,BUY013,INR,Completed
PO000016,SUP0100,CON0090,2026-09-06,2026-10-04,BUY011,INR,Approved
PO000017,SUP0043,CON0110,2026-09-06,2026-09-19,BUY010,INR,Approved
PO000018,SUP0093,,2026-09-06,2026-10-21,BUY011,INR,Approved
PO000019,SUP0075,,2026-09-06,2026-09-22,BUY010,INR,Completed
PO000020,SUP0017,CON0017,2026-09-06,2026-10-21,BUY010,INR,Cancelled
PO000021,SUP0049,,2026-09-06,2026-10-04,BUY017,INR,Approved
PO000022,SUP0083,CON0050,2026-09-06,2026-10-10,BUY012,INR,Approved
PO000023,SUP0024,CON0033,2026-09-06,2026-09-26,BUY007,INR,Approved
PO000024,SUP0018,CON0069,2026-09-06,2026-09-22,BUY017,INR,Cancelled
